127.0.0.1 - - [11/Jul/2023:10:25:13 +0530] "GET /securebanking/js/FirstTimeLogin.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Jul/2023:10:25:13 +0530] "GET /securebanking/js/UserForgetPassword.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Jul/2023:10:25:13 +0530] "GET /securebanking/AdminUI/login/images/facebook.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:25:13 +0530] "GET /securebanking/AdminUI/login/images/instagram.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:25:13 +0530] "GET /securebanking/AdminUI/login/images/android.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:25:13 +0530] "GET /securebanking/AdminUI/login/images/twitter.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:25:13 +0530] "GET /securebanking/AdminUI/login/images/apple.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:25:13 +0530] "GET /securebanking/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
127.0.0.1 - - [11/Jul/2023:10:27:20 +0530] "POST /securebanking/AdminUI/UserMgmt/firstTimeLogin HTTP/1.1" 200 9074
127.0.0.1 - - [11/Jul/2023:10:27:20 +0530] "GET /securebanking/AdminUI/UserMgmt/images/logo.gif HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:20 +0530] "GET /securebanking/AdminUI/UserMgmt/images/instagram.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:20 +0530] "GET /securebanking/AdminUI/UserMgmt/images/facebook.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:20 +0530] "GET /securebanking/AdminUI/UserMgmt/images/twitter.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:20 +0530] "GET /securebanking/AdminUI/UserMgmt/images/apple.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:20 +0530] "GET /securebanking/AdminUI/UserMgmt/images/android.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:34 +0530] "GET /securebanking/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Jul/2023:10:27:34 +0530] "GET /securebanking/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Jul/2023:10:27:34 +0530] "GET /securebanking/js/sessionTimeout.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Jul/2023:10:27:34 +0530] "GET /securebanking/js/menujs.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Jul/2023:10:27:34 +0530] "GET /securebanking/images/loader.gif HTTP/1.1" 200 80725
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "POST /securebanking/AdminUI/login/validateAccount HTTP/1.1" 200 98280
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/css/fileinput.css HTTP/1.1" 200 48
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/css/jquery-ui.css HTTP/1.1" 200 36933
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/instagram.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/facebook.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/apple.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/android.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/twitter.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/js/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/instagram.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/twitter.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/facebook.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/android.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:27:35 +0530] "GET /securebanking/AdminUI/login/images/apple.png HTTP/1.1" 404 1053
127.0.0.1 - - [11/Jul/2023:10:34:48 +0530] "GET /securebanking/AdminUI/account/userlist?enc=498080c570ffeaa98d7425145cf8f8fcde8f47062c322fa9c4cd08697b9769d9d37b4df8568c7a6f35b2ff6b8e4282c7&param1=709859c0-6912-4387-abef-61fdc5291ad1&param2=05696599-760a-4bc5-b7e3-dcf135f12aac HTTP/1.1" 200 40457
